name,surname,patronymic,company,working_mobile,personal_mobile
Зинаида,Артемьева,Матвеевна,Техкомпания Хуавэй (Huawei),207012108328,236322163190
Климент,Ефремова,Вячеславович,Московский метрополитен,282393686320,571470020286
Демьян,Соболев,Харитонович,Сатурн-Р,552392649642,817925142467
Остап,Сафонов,Теймуразович,Независимая энергосбытовая компания Краснодарского края,259112134147,400433933262
Радислав,Орехов,Фёдорович,Эбботт лэбораториз (Abbott Laboratories),840792047760,165289671086
Парамон,Попова,Устинович,Юнипро (Uniper),892828221233,073166302946
Антонин,Алексеев,Демидович,Самсунг Электроникс Рус Калуга (Samsung),937550169665,780144530067
Иванна,Кононова,Иосифович,Вайлдберриз,007881405510,860409074084
Еремей,Васильев,Феоктистович,Ростелеком,376957095364,784256535789
Пров,Куликова,Владленович,Агентство по страхованию вкладов (АСВ),473403552307,587977077957
Авксентий,Кузьмина,Георгиевна,Первая тяжеловесная компания,063037661025,513657879935
Карп,Якушева,Гаврилович,Слата супермаркет,438764670923,503186442221
Нестор,Доронина,Антоновна,Нефтехимсервис,427949296737,842936631248
Назар,Соболев,Демьянович,Hoff (Домашний интерьер),843255713876,520709774438
Глеб,Терентьев,Фролович,Фармперспектива,394349740117,956769137521
Любовь,Пахомов,Герасимович,ГК Мега-Авто,602746859525,864887008205
Фома,Гордеева,Ниловна,Интер РАО,395382106623,504269454938
Надежда,Тимофеева,Валерьянович,Восточный экспресс банк,079116964601,675841190189
Митофан,Тихонова,Трифонович,РМ Рейл,763056299529,110144834118
Лариса,Ефремов,Иосифович,Нова,270502388268,338036110971
Владимир,Соловьев,Альбертовна,Нефтетранссервис,892296788103,352527887412
Викторин,Макарова,Игоревич,Группа агропредприятий Ресурс,706286149807,190245010800
Эдуард,Гущина,Ермилович,ТД Ункомтех,341695602801,873494081500
Милица,Крылова,Измаилович,Магнолия,734598326130,067373461754
Максим,Дроздова,Аверьянович,Агросила Групп,665628008303,379081671417
Любомир,Хохлов,Игнатьевич,КДВ Групп,730734336192,322821352751
Марк,Мельникова,Гаврилович,Металлокомплект-М,861648957714,838463217908
Спиридон,Рябов,Владимировна,Борисхоф 1 (Inchcape),120288865342,311510707148
Никандр,Савельева,Ждановна,Вертолеты России,131954628261,697851077776
Евдокия,Прохоров,Витальевич,Байер,069534990416,124773947787
Людмила,Евдокимов,Ефимович,Р-Фарм,776791151861,114132899974
Мирон,Васильев,Жоресович,Деловые линии,819819154134,589383422907
Мефодий,Беляков,Анисимович,Куйбышевазот,271256771631,274511187434
Авдей,Морозова,Филимонович,Боэс Констракшн (Boes Construction),847240516371,978037911212
Пров,Орлова,Всеволодович,БСС,391052548175,326186701439
Ефрем,Киселева,Адрианович,Боэс Констракшн (Boes Construction),727388689573,550877214297
Мстислав,Родионов,Эдгарович,Сони Электроникс (Sony),796048488761,943573553691
Алексей,Власова,Эдгардович,Транснефть,536364093537,594191502395
Бажен,Константинова,Иларионович,Аэрофлот — Российские авиалинии,163908507027,113247906531
Анжела,Кондратьева,Еремеевич,S7 Group,516666435324,388159482387
Лукьян,Копылова,Робертовна,Тойота Мотор (Toyota),471315125768,494811852323
Феврония,Абрамова,Архиповна,Российские сети,575023971117,245532659342
Соломон,Щукина,Святославовна,Национальная медиа группа,984474309513,144450607501
Флорентин,Федоров,Венедиктович,ЧТПЗ,763616952044,885120939170
Лев,Логинов,Юльевна,ТМК Чермет,062554525798,311355476016
Елена,Ершова,Сергеевна,Группа Илим,829005562620,131200064467
Олимпиада,Доронина,Геннадиевна,Группа ЭПМ,548041127188,927951238779
Януарий,Третьяков,Ильинична,ГК Ташир,710389827908,433065971811
Фирс,Быкова,Эдуардович,Компания СИМ-Авто,479868186155,186130208401
Агата,Быков,Викторовна,Уралкалий,052252229465,009974245054
Александра,Миронова,Робертовна,ГК Эфко,673213438102,612689308401
Пахом,Савельева,Всеволодович,М Фэшн,735910620133,437693407395
Лонгин,Зуев,Владимировна,Приосколье,070800113595,740741817567
Октябрина,Терентьева,Евгеньевна,Группа Полипластик,984440232699,908225554627
Евдоким,Ефимова,Адрианович,Вольво Восток (AB Volvo),182050610028,378109554959
Владилен,Исакова,Натановна,Московский кредитный банк,669708054453,759779450600
Семен,Власова,Зиновьевич,Башкирэнерго,864345505336,733779361902
Филарет,Ермакова,Августович,Нефтетранссервис,229063833042,533812764988
Анастасия,Игнатьев,Сергеевна,ТК Шлюмберже (Schlumberger),997853438318,827385027681
Иванна,Одинцов,Исидорович,Международный центр,691726314907,673335855098
Касьян,Одинцова,Витальевич,Краснодарзернопродукт-Экспо,414677158739,204765672300
Милий,Шарова,Богдановна,Комос Групп,950391255674,670819554679
Ипат,Григорьев,Александровна,Волгоградэнергосбыт,934795913968,475787796818
Аполлинарий,Горбачева,Тихонович,Мерида,567324417237,722428199928
Кондрат,Шашкова,Валерьянович,Арктикгаз,673756818002,127893945620
Тихон,Кудряшов,Рубеновна,Курганмашзавод,767141462852,403281047675
Маргарита,Панфилов,Венедиктович,Юнипро (Uniper),370052266147,919399489059
Григорий,Громова,Артурович,Банк Русский стандарт,670013020328,605115430176
Ульян,Тихонова,Харламович,ТОАЗ,537874453834,459989304030
Устин,Третьяков,Ефимович,Первая тяжеловесная компания,727923882166,748834933236
Артемий,Королева,Андреевна,Авиакомпания Икар,477147105719,627202518799
Никанор,Сорокин,Трофимович,171 Меридиан,622833412170,234980735012
Рюрик,Исаев,Артурович,Восток-Запад,889032672669,766733819025
Семен,Горшкова,Гордеевич,Военторг,273658280578,214595823283
Афанасий,Морозова,Дорофеевич,ТМК,924075708781,830041963897
Стоян,Шарова,Афанасьевна,Арконик СМЗ,564887250437,429495191315
